i;;nb tour/sec;m/s
243;;0,080002;0,020161878
241;;0,020000;0,00504047
239;;0,060001;0,015121409
237;;0,360007;0,090728452
235;;0,460009;0,115930802
233;;0,240005;0,060485632
231;;1,260025;0,317549576
229;;1,080021;0,272185375
227;;1,140022;0,287306776
225;;2,820055;0,71070621
223;;2,540050;0,640139637
221;;8,160159;2,05651157
219;;11,240219;2,832743867
217;;14,220278;3,583773969
215;;15,660306;3,946687804
213;;15,620304;3,93660659
211;;18,840366;4,74812205
209;;23,280455;5,867106717
207;;26,440516;6,663500718
205;;27,740541;6,991131386
203;;27,820541;7,011292851
201;;30,960602;7,802646368
199;;33,560658;8,457908665
197;;34,040665;8,578879382
195;;34,560677;8,709932034
193;;37,660736;9,491204576
191;;41,300804;10,4085693
189;;42,840836;10,7966858
187;;46,780914;11,78965878
185;;46,700909;11,76949588
183;;50,880993;12,8229547
181;;52,801029;13,30683949
179;;55,181080;13,90665643
177;;55,441078;13,97218084
175;;57,641121;14,52663244
173;;60,801182;15,32302644
171;;64,561256;16,27063504
169;;65,101265;16,40672722
167;;67,781319;17,0821505
165;;69,181343;17,43498265
163;;69,761360;17,58115772
161;;72,561417;18,28682392
159;;73,641441;18,5590102
157;;77,141510;19,44109247
155;;77,881523;19,62758952
153;;79,501549;20,03586605
151;;83,361626;21,00867708
149;;86,941696;21,9109213
147;;90,061752;22,69723337
145;;88,801735;22,3796856
143;;86,781693;21,87059741
141;;89,381744;22,52585875
139;;93,541824;23,57427612
137;;96,941887;24,431155
135;;97,621902;24,60253155
133;;99,401939;25,05113389
131;;103,582016;26,10459079
129;;106,042068;26,72456968
127;;106,802078;26,91610625
125;;108,982124;27,46551833
123;;111,482178;28,09557819
121;;114,122231;28,76092051
119;;114,082230;28,75083953
117;;116,262260;29,30024777
115;;119,102325;30,01599687
113;;118,722313;29,92022666
111;;116,502274;29,36073553
109;;114,962242;28,97261902
107;;115,502251;29,1087112
105;;119,302322;30,06639981
103;;128,642517;32,42030226
101;;131,662567;33,18141093
99;;132,202576;33,3175031
97;;133,442612;33,6300152
95;;135,962646;34,26511074
93;;136,182663;34,32055898
91;;135,802643;34,22478685
89;;139,742722;35,21775983
87;;139,702728;35,20768078
85;;141,522766;35,6663641
83;;145,742844;36,72990197
81;;146,242844;36,85591125
79;;149,862915;37,76823645
77;;151,402954;38,15635488
75;;152,982986;38,55455236
73;;156,483047;39,43663271
71;;158,343079;39,90539508
69;;159,663116;40,23806912
67;;161,623154;40,73203489
65;;162,183167;40,87316851
63;;163,743195;41,26632455
61;;163,503189;41,20583871
59;;162,663177;40,99414019
57;;161,883148;40,79755833
55;;159,523117;40,20278668
53;;160,303131;40,39936469
51;;165,563217;41,72500402
49;;169,643311;42,75326329
47;;170,823334;43,05065104
45;;174,523407;43,98313818
43;;175,723419;44,28556353
41;;178,003479;44,86018093
39;;182,383560;45,96404269
37;;179,783508;45,30878135
35;;179,083496;45,13236528
33;;175,243408;44,16459185
31;;174,863419;44,06882741
29;;180,323517;45,44487353
27;;183,623581;46,27655094
25;;183,463577;46,23622705
23;;186,423645;46,98221907
21;;187,903671;47,35521315
19;;188,163681;47,42074044
17;;190,983734;48,13144617
15;;190,443726;47,99535399
13;;190,603714;48,03567404
11;;192,743759;48,57500515
9;;193,283768;48,71109732
7;;195,283813;49,21514599
5;;196,103821;49,42180305
3;;198,003860;49,90064832
1;;200,223907;50,46014137
0;;200,843918;50,6163955
0;;99,861946;25,16706412
0;;2,540050;0,640139637
0;;0,020000;0,00504047
0;;0,060001;0,015121409
0;;0,220004;0,05544517
0;;0,520010;0,131052216
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
